date,pcr_tests_YUMA,pcr_positivity_YUMA,ser_tests_YUMA,ser_positivity_YUMA
2020-05-12 00:00:00,180,0.1166666666666667,124.0,0.0161290322580645
2020-05-11 00:00:00,146,0.1027397260273973,108.0,0.0277777777777778
2020-05-10 00:00:00,21,0.1428571428571429,2.0,0
2020-05-09 00:00:00,806,0.0620347394540943,4.0,0.25
2020-05-08 00:00:00,73,0.1506849315068493,150.0,0.0066666666666667
2020-05-07 00:00:00,90,0.0777777777777778,194.0,0.0051546391752577
2020-05-06 00:00:00,73,0.1780821917808219,125.0,0.016
2020-05-05 00:00:00,74,0.0810810810810811,196.0,0.0102040816326531
2020-05-04 00:00:00,70,0.1571428571428572,221.0,0.0090497737556561
2020-05-03 00:00:00,23,0.2608695652173913,,
2020-05-02 00:00:00,265,0.0377358490566038,,
2020-05-01 00:00:00,31,0.1290322580645161,32.0,0.03125
2020-04-30 00:00:00,16,0.25,21.0,0.0476190476190476
2020-04-29 00:00:00,37,0.1081081081081081,30.0,0.0333333333333333
2020-04-28 00:00:00,15,0,26.0,0
2020-04-27 00:00:00,23,0.0869565217391304,19.0,0
2020-04-26 00:00:00,2,0,,
2020-04-25 00:00:00,2,0.5,,
2020-04-24 00:00:00,17,0.2941176470588236,1.0,0
2020-04-23 00:00:00,16,0.1875,,
2020-04-22 00:00:00,11,0.2727272727272727,,
2020-04-21 00:00:00,19,0.1052631578947368,,
2020-04-20 00:00:00,29,0.3103448275862069,,
2020-04-19 00:00:00,11,0.1818181818181818,,
2020-04-18 00:00:00,9,0,,
2020-04-17 00:00:00,27,0.1111111111111111,,
2020-04-16 00:00:00,27,0,,
2020-04-15 00:00:00,25,0.04,,
2020-04-14 00:00:00,18,0,,
2020-04-13 00:00:00,16,0.125,,
2020-04-12 00:00:00,13,0.1538461538461539,,
2020-04-11 00:00:00,10,0.2,,
2020-04-10 00:00:00,29,0,,
2020-04-09 00:00:00,35,0,,
2020-04-08 00:00:00,24,0.0833333333333333,,
2020-04-07 00:00:00,10,0.1,,
2020-04-06 00:00:00,24,0.0416666666666667,,
2020-04-05 00:00:00,9,0.1111111111111111,,
2020-04-04 00:00:00,12,0.0833333333333333,,
2020-04-03 00:00:00,25,0,,
2020-04-02 00:00:00,26,0,,
2020-04-01 00:00:00,30,0.0666666666666667,,
2020-03-31 00:00:00,21,0,,
2020-03-30 00:00:00,40,0.1,,
2020-03-29 00:00:00,10,0,,
2020-03-28 00:00:00,9,0.1111111111111111,,
2020-03-27 00:00:00,13,0,,
2020-03-26 00:00:00,14,0.2142857142857143,,
2020-03-25 00:00:00,13,0,,
2020-03-24 00:00:00,19,0.0526315789473684,,
2020-03-23 00:00:00,19,0.0526315789473684,,
2020-03-22 00:00:00,5,0,,
2020-03-21 00:00:00,2,0,,
2020-03-20 00:00:00,11,0.0909090909090909,,
2020-03-19 00:00:00,3,0,,
2020-03-18 00:00:00,12,0.0833333333333333,,
2020-03-17 00:00:00,8,0,,
2020-03-16 00:00:00,4,0,,
2020-03-13 00:00:00,4,0,,
2020-03-12 00:00:00,2,0,,
2020-03-11 00:00:00,2,0,,
2020-03-02 00:00:00,1,0,,
